,Q1. Front End Web Design consist of (Select all that apply),UI Design,Layout,Database,Server Side Scripts,A,UI Design & Layout
,Q2. Which is not part of Front End Web Design,HTML,CSS,Javascript,Shell Script,D,Shell Script
,Q3. Front End Web Developer does not develop,CSS,JQuery,Ajax,Templating Languages,A,CSS
,Q4. HTML stands for,Hightext Markup Language,Hypertext Markup Language,High-Definition Text Markup Language,Host Text Markup Language,B,Hypertext Markup Language
,Q5. Head Tag is inside Body Tag,TRUE,FALSE,,,B,FALSE
,Q6. HTML page is styled using,Javascript,CSS,JSP,PHP,B,CSS
,Q7. Which is not part of Client Side Javascript ?,Interact with Database,Create Interaction,Validate Forms,Give Users Feedback,A,Interact with Database
,Q8. Which is not an Image Format ?,JPG,GIF,PNG,JS,D,JS
,Q9. Which is not Example of API,Amazon Web Service,Ebay,Google Maps,HTML,D,HTML
,Q10. Which is not an HTML5 API ?,Drag & Drop API,App Cache API,Geolocation API,MySQL API,D,MySQL API
